"magnitudeOfDelay","length","delay","events","roadNumbers","coords","date&time diff","Day of week (number)","Hour","n_incidents"
3.5,227.649,79.5,2,0,70.5,53284,5,21.5,2
3,187.941,161,5,0,131,27,5,22,1
2,254.827,32,3,0,26,21,6,10,1
2.6,652.801,350.4,5,0,126.6,151,6,10.6,5
2.75,642.852,151.375,5,0,150.125,202.25,6,11.5,8
2.333,365.279,98.833,5,8,64.667,204.5,6,12.5,6
3,177.443,238,5,0,14,45,6,13,1
2,342.446,96,5,9,116,396,6,15.5,2
3,318.396,158,5,9,137,23,6,16,1
1.333,440.499,41.333,4,0,94,621,6,19,3
3,174.032,30,5,0,97,637,6,19,1
1,353.363,153,4,8,13,31,6,21,1
3,173.376,191,5,0,104,44,6,23,1
3,318.396,142,5,9,137,111,6,23,1
1,1684.011,126,4,8,1,39,7,1,1
2,209.495,34,3,0,96,60,7,10,1
3,611.239,214,5,0,149.333,127,7,11,3
2.833,454.775,138.333,5,0,145,168,7,11.333,6
3,231.819,115,5,0,46.5,203.5,7,12.5,2
1.5,336.16,32.5,3,8,25.5,502.5,7,17,2
2,270.505,51,4,0,70.667,589,7,18.333,3
2.5,357.605,97.833,3,8,57.833,49.833,1,7.5,6
2.857,361.356,180.429,5,0,117.571,82.571,1,8.857,7
2.714,362.063,204,5,0,59.429,109.429,1,9.429,7
2,493.842,121,3,0,47,31,1,10,1
2.833,639.65,247,5,0,89.5,239.5,1,11.833,6
3,699.386,316.2,5,0,116.4,223.6,1,12.4,5
2.6,260.42,129.4,5,0,71.8,64.8,1,13.4,5
3,261.592,154.6,5,0,56.6,166,1,14.6,5
2.333,325.163,76.5,5,0,53,241.667,1,15.5,6
2.4,278.302,78.8,5,0,93.8,295.2,1,16.4,5
2.375,686.495,140.5,5,0,137.625,308.75,1,17.5,8
2.889,433.99,248.222,5,0,132.778,429.222,1,18.667,9
2,694.719,120.75,5,0,100.5,350.75,1,19,4
1.8,817.512,95.6,3,8,26.8,36.4,2,7.2,5
3,367.169,153,5,0,120.2,70.4,2,8.4,5
2.2,307.154,115.4,5,0,53,132.4,2,9.4,5
3,137.617,203,5,0,63,42,2,11,1
3,195.109,144.333,5,0,76.333,129.667,2,12,3
2.333,347.303,171.444,5,8,31.556,158.556,2,12.556,9
3,287.565,157.8,5,8,49.8,198.8,2,13.2,5
2,372.973,43,3,8,26,441,2,14,1
2.667,347.562,102.333,5,0,97.667,282.667,2,15.333,3
2.75,181.466,125.75,5,0,66,202.5,2,16.25,4
3,275.422,125,5,0,137.5,244.5,2,17.5,2
2.571,322.669,81.143,5,0,122.429,441.429,2,18.857,7
1.833,579.428,76.5,4,0,76.833,589.833,2,19.333,6
3,142.937,27,5,0,97,809,2,20,1
1.75,658.821,85.5,4,8,32,43.75,3,7.25,4
