"magnitudeOfDelay","length","delay","events","roadNumbers","coords","date&time diff","Day of week (number)","Hour","n_incidents"
3,10522.828,1926,5,5,54,826,5,18,1
3,134.971,171,5,0,43,28,6,13,1
2.111,2865.209,290.889,3,5,55.333,112.667,1,7.667,9
2.143,4672.053,588.857,5,5,57.143,219.857,1,8.714,7
1.25,1971.772,119.5,4,5,24.75,281.5,1,9.25,4
1,983.366,29,4,5,27,313,1,11,1
4,99.663,0,1,0,9,126598,1,12,1
1,983.366,38,4,5,27,248,1,14,1
3,1496.688,370.5,5,6,1.5,90,1,17,2
2.333,702.06,176.5,5,0,14,190.5,1,17.833,6
3,282.652,174,5,0,28,42,1,19,1
3,136.331,102,5,0,42,101,1,19,1
1,1057.009,31,4,5,24,37,1,22,1
3,530.523,87,5,5,18,33,2,2,1
1,1585.028,137,4,5,41.667,96,2,7,3
1.75,4631.631,457.167,3,5,35.917,204.417,2,7.75,12
1.909,2382.729,251.182,3,5,42.818,160.273,2,8.727,11
3,4054.803,608,5,5,41,322,2,9,1
1,1161.878,54.5,4,5,22.5,490,2,17,2
2,888.001,209,5,0,3,125.5,2,18,2
2.429,765.411,172.571,5,0,10.286,214.857,2,18.571,7
4,99.663,0,1,0,9,128901,3,3,1
3,459.868,202,5,0,11,46,3,22,1
1.333,2591.817,151.667,4,5,33.667,84.333,4,7,3
2.111,6520.711,643.111,3,5,50.333,167.889,4,7.667,9
2.125,2925.382,365.625,3,10,57.375,194.125,4,9,8
1.333,2515.322,163,4,5,25.667,246,4,9.333,3
2,276.303,40,3,3,37,254,4,11,1
2.5,1598.071,237.667,5,0,28.167,563.833,4,17,6
2.1,2074.381,239.1,3,5,32.2,493.5,4,17.8,10
1.4,1890.447,156,4,5,24.2,762,4,18.4,5
1,3415.619,253,4,5,52,175,5,7,1
1.6,3763.092,317.4,3,5,44.6,201,5,7.6,5
2.7,1957.504,472.2,5,5,27.3,147.4,5,8.7,10
3,1820.546,456.7,5,5,26.8,183.7,5,9.8,10
2.75,714.211,111.875,5,5,48.875,252.875,5,10.75,8
2.5,1201.287,221.5,5,5,38.25,312.5,5,11.5,4
4,99.663,0,1,0,9,133189,6,2,1
